date,season,home_team,away_team,home_score,away_score,is_playoff
2025-10-07,2025-26,Florida Panthers,Chicago Blackhawks,3,2,False
2025-10-07,2025-26,Los Angeles Kings,Colorado Avalanche,1,4,False
2025-10-07,2025-26,New York Rangers,Pittsburgh Penguins,0,3,False
2025-10-08,2025-26,Edmonton Oilers,Calgary Flames,3,4,False
2025-10-08,2025-26,Toronto Maple Leafs,Montreal Canadiens,5,2,False
2025-10-08,2025-26,Vegas Golden Knights,Los Angeles Kings,5,6,False
2025-10-08,2025-26,Washington Capitals,Boston Bruins,1,3,False
2025-10-09,2025-26,Boston Bruins,Chicago Blackhawks,4,3,False
2025-10-09,2025-26,Buffalo Sabres,New York Rangers,0,4,False
2025-10-09,2025-26,Carolina Hurricanes,New Jersey Devils,6,3,False
2025-10-09,2025-26,Colorado Avalanche,Utah Mammoth,2,1,False
2025-10-09,2025-26,Detroit Red Wings,Montreal Canadiens,1,5,False
2025-10-09,2025-26,Florida Panthers,Philadelphia Flyers,2,1,False
2025-10-09,2025-26,Nashville Predators,Columbus Blue Jackets,2,1,False
2025-10-09,2025-26,Pittsburgh Penguins,New York Islanders,4,3,False
2025-10-09,2025-26,Seattle Kraken,Anaheim Ducks,3,1,False
2025-10-09,2025-26,San Jose Sharks,Vegas Golden Knights,3,4,False
2025-10-09,2025-26,St. Louis Blues,Minnesota Wild,0,5,False
2025-10-09,2025-26,Tampa Bay Lightning,Ottawa Senators,4,5,False
2025-10-09,2025-26,Vancouver Canucks,Calgary Flames,5,1,False
2025-10-09,2025-26,Winnipeg Jets,Dallas Stars,4,5,False
2025-10-11,2025-26,Boston Bruins,Buffalo Sabres,3,1,False
2025-10-11,2025-26,Carolina Hurricanes,Philadelphia Flyers,4,3,False
2025-10-11,2025-26,Calgary Flames,St. Louis Blues,2,4,False
2025-10-11,2025-26,Chicago Blackhawks,Montreal Canadiens,2,3,False
2025-10-11,2025-26,Colorado Avalanche,Dallas Stars,4,5,False
2025-10-11,2025-26,Detroit Red Wings,Toronto Maple Leafs,6,3,False
2025-10-11,2025-26,Edmonton Oilers,Vancouver Canucks,3,1,False
2025-10-11,2025-26,Florida Panthers,Ottawa Senators,6,2,False
2025-10-11,2025-26,Minnesota Wild,Columbus Blue Jackets,4,7,False
2025-10-11,2025-26,Nashville Predators,Utah Mammoth,2,3,False
2025-10-11,2025-26,New York Islanders,Washington Capitals,2,4,False
2025-10-11,2025-26,Pittsburgh Penguins,New York Rangers,1,6,False
2025-10-11,2025-26,Seattle Kraken,Vegas Golden Knights,2,1,False
2025-10-11,2025-26,San Jose Sharks,Anaheim Ducks,6,7,False
2025-10-11,2025-26,Tampa Bay Lightning,New Jersey Devils,3,5,False
2025-10-11,2025-26,Winnipeg Jets,Los Angeles Kings,3,2,False
2025-10-12,2025-26,New York Rangers,Washington Capitals,0,1,False
2025-10-13,2025-26,Boston Bruins,Tampa Bay Lightning,3,4,False
2025-10-13,2025-26,Buffalo Sabres,Colorado Avalanche,1,3,False
2025-10-13,2025-26,Columbus Blue Jackets,New Jersey Devils,2,3,False
2025-10-13,2025-26,Chicago Blackhawks,Utah Mammoth,3,1,False
2025-10-13,2025-26,Minnesota Wild,Los Angeles Kings,4,3,False
2025-10-13,2025-26,New York Islanders,Winnipeg Jets,2,5,False
2025-10-13,2025-26,Ottawa Senators,Nashville Predators,1,4,False
2025-10-13,2025-26,Philadelphia Flyers,Florida Panthers,5,2,False
2025-10-13,2025-26,Toronto Maple Leafs,Detroit Red Wings,2,3,False
2025-10-13,2025-26,Vancouver Canucks,St. Louis Blues,2,5,False
2025-10-14,2025-26,Anaheim Ducks,Pittsburgh Penguins,4,3,False
2025-10-14,2025-26,Calgary Flames,Vegas Golden Knights,2,4,False
2025-10-14,2025-26,Dallas Stars,Minnesota Wild,5,2,False
2025-10-14,2025-26,Montreal Canadiens,Seattle Kraken,5,4,False
2025-10-14,2025-26,New York Rangers,Edmonton Oilers,0,2,False
2025-10-14,2025-26,San Jose Sharks,Carolina Hurricanes,1,5,False
2025-10-14,2025-26,Toronto Maple Leafs,Nashville Predators,7,4,False
2025-10-14,2025-26,Washington Capitals,Tampa Bay Lightning,3,2,False
2025-10-15,2025-26,Buffalo Sabres,Ottawa Senators,8,4,False
2025-10-15,2025-26,Detroit Red Wings,Florida Panthers,4,1,False
2025-10-15,2025-26,St. Louis Blues,Chicago Blackhawks,3,8,False
2025-10-15,2025-26,Utah Mammoth,Calgary Flames,3,1,False
2025-10-16,2025-26,Anaheim Ducks,Carolina Hurricanes,1,4,False
2025-10-16,2025-26,Columbus Blue Jackets,Colorado Avalanche,1,4,False
2025-10-16,2025-26,Dallas Stars,Vancouver Canucks,3,5,False
2025-10-16,2025-26,Los Angeles Kings,Pittsburgh Penguins,2,4,False
2025-10-16,2025-26,Montreal Canadiens,Nashville Predators,3,2,False
2025-10-16,2025-26,New Jersey Devils,Florida Panthers,3,1,False
2025-10-16,2025-26,New York Islanders,Edmonton Oilers,4,2,False
2025-10-16,2025-26,Ottawa Senators,Seattle Kraken,4,3,False
2025-10-16,2025-26,Philadelphia Flyers,Winnipeg Jets,2,5,False
2025-10-16,2025-26,Toronto Maple Leafs,New York Rangers,2,1,False
2025-10-16,2025-26,Vegas Golden Knights,Boston Bruins,6,5,False
2025-10-17,2025-26,Chicago Blackhawks,Vancouver Canucks,2,3,False
2025-10-17,2025-26,Detroit Red Wings,Tampa Bay Lightning,2,1,False
2025-10-17,2025-26,Utah Mammoth,San Jose Sharks,6,3,False
2025-10-17,2025-26,Washington Capitals,Minnesota Wild,5,1,False
2025-10-18,2025-26,Buffalo Sabres,Florida Panthers,3,0,False
2025-10-18,2025-26,Columbus Blue Jackets,Tampa Bay Lightning,3,2,False
2025-10-18,2025-26,Colorado Avalanche,Boston Bruins,4,1,False
2025-10-18,2025-26,Los Angeles Kings,Carolina Hurricanes,3,4,False
2025-10-18,2025-26,Montreal Canadiens,New York Rangers,3,4,False
2025-10-18,2025-26,New Jersey Devils,Edmonton Oilers,5,3,False
2025-10-18,2025-26,Ottawa Senators,New York Islanders,4,5,False
2025-10-18,2025-26,Philadelphia Flyers,Minnesota Wild,2,1,False
2025-10-18,2025-26,San Jose Sharks,Pittsburgh Penguins,0,3,False
2025-10-18,2025-26,St. Louis Blues,Dallas Stars,3,1,False
2025-10-18,2025-26,Toronto Maple Leafs,Seattle Kraken,3,4,False
2025-10-18,2025-26,Vegas Golden Knights,Calgary Flames,6,1,False
2025-10-18,2025-26,Winnipeg Jets,Nashville Predators,4,1,False
2025-10-19,2025-26,Chicago Blackhawks,Anaheim Ducks,2,1,False
2025-10-19,2025-26,Detroit Red Wings,Edmonton Oilers,4,2,False
2025-10-19,2025-26,Utah Mammoth,Boston Bruins,3,2,False
2025-10-19,2025-26,Washington Capitals,Vancouver Canucks,3,4,False
2025-10-20,2025-26,Calgary Flames,Winnipeg Jets,1,2,False
2025-10-20,2025-26,Montreal Canadiens,Buffalo Sabres,4,2,False
2025-10-20,2025-26,New York Rangers,Minnesota Wild,1,3,False
2025-10-20,2025-26,Philadelphia Flyers,Seattle Kraken,5,2,False
