label,k,home_field.value,elevation_edge.value,accuracy,log_loss,brier
k30_hfa35_elev4.0,30,35,4.0,0.6526315789473685,0.6475698397505772,0.22798694172178183
k30_hfa35_elev6.0,30,35,6.0,0.6526315789473685,0.6475698397505772,0.22798694172178183
k30_hfa35_elev8.0,30,35,8.0,0.6526315789473685,0.6475698397505772,0.22798694172178183
k30_hfa35_elev10.0,30,35,10.0,0.6526315789473685,0.6475698397505772,0.22798694172178183
k30_hfa50_elev0.0,30,50,0.0,0.6526315789473685,0.6475698397505772,0.22798694172178183
k30_hfa50_elev2.0,30,50,2.0,0.6526315789473685,0.6475698397505772,0.22798694172178183
k30_hfa65_elev8.0,30,65,8.0,0.6526315789473685,0.6475698397505772,0.22798694172178183
k30_hfa65_elev10.0,30,65,10.0,0.6526315789473685,0.6475698397505772,0.22798694172178183
k30_hfa80_elev0.0,30,80,0.0,0.6526315789473685,0.6475698397505772,0.22798694172178183
k30_hfa80_elev2.0,30,80,2.0,0.6526315789473685,0.6475698397505772,0.22798694172178183
k30_hfa65_elev0.0,30,65,0.0,0.6526315789473685,0.6475698397505772,0.22798694172178183
k30_hfa65_elev2.0,30,65,2.0,0.6526315789473685,0.6475698397505772,0.22798694172178183
k30_hfa65_elev4.0,30,65,4.0,0.6526315789473685,0.6475698397505772,0.22798694172178183
k30_hfa65_elev6.0,30,65,6.0,0.6526315789473685,0.6475698397505772,0.22798694172178183
k30_hfa80_elev4.0,30,80,4.0,0.6526315789473685,0.6475698397505772,0.22798694172178183
k30_hfa80_elev6.0,30,80,6.0,0.6526315789473685,0.6475698397505772,0.22798694172178183
k30_hfa80_elev8.0,30,80,8.0,0.6526315789473685,0.6475698397505772,0.22798694172178183
k30_hfa80_elev10.0,30,80,10.0,0.6526315789473685,0.6475698397505772,0.22798694172178183
k30_hfa20_elev2.0,30,20,2.0,0.6526315789473685,0.6475698397505772,0.22798694172178183
k30_hfa20_elev0.0,30,20,0.0,0.6526315789473685,0.6475698397505772,0.22798694172178183
k25_hfa80_elev10.0,25,80,10.0,0.6526315789473685,0.6518660111690108,0.22991370507647116
k25_hfa80_elev8.0,25,80,8.0,0.6526315789473685,0.6518660111690108,0.22991370507647116
k25_hfa50_elev0.0,25,50,0.0,0.6526315789473685,0.6518660111690108,0.22991370507647116
k25_hfa50_elev2.0,25,50,2.0,0.6526315789473685,0.6518660111690108,0.22991370507647116
k25_hfa50_elev4.0,25,50,4.0,0.6526315789473685,0.6518660111690108,0.22991370507647116
k25_hfa50_elev6.0,25,50,6.0,0.6526315789473685,0.6518660111690108,0.22991370507647116
k25_hfa80_elev6.0,25,80,6.0,0.6526315789473685,0.6518660111690108,0.22991370507647116
k25_hfa80_elev4.0,25,80,4.0,0.6526315789473685,0.6518660111690108,0.22991370507647116
k25_hfa80_elev2.0,25,80,2.0,0.6526315789473685,0.6518660111690108,0.22991370507647116
